plotWnum,plotSpec
44302,84.7868422627307
44302.102,72.0794132950974
44302.199,61.8406737082765
44302.301,48.4762739213617
44302.398,59.0585653150824
44302.5,36.4756769963219
44302.602,68.7591321408968
44302.699,61.8833194087001
44302.801,44.613816608896
44302.898,58.7476451623014
44303,100.067511687649
44303.102,63.872504180737
44303.199,66.3468141934125
44303.301,82.8667406503756
44303.398,67.2288811980941
44303.5,63.1616045542003
44303.602,65.2311882660464
44303.699,69.9995800302848
44303.801,81.8853506442895
44303.898,73.8263846095457
44304,88.1109062569863
44304.102,74.2586859728445
44304.199,90.3217410456687
44304.301,76.9386786286346
44304.398,100.14994934995
44304.5,79.1964091768077
44304.602,95.8589030381502
44304.699,103.11922993815
44304.801,143.309413945034
44304.898,116.544403010171
44305,126.21732199415
44305.102,160.52806333056
44305.199,155.898032033646
44305.301,174.38002591092
44305.398,210.342813925536
44305.5,223.097303659181
44305.602,250.71065899061
44305.699,248.356587520336
44305.801,270.239875163364
44305.898,266.795765620576
44306,281.281321311585
44306.102,264.510999423988
44306.199,239.24560333417
44306.301,265.300986868447
44306.398,280.823198719743
44306.5,301.921699319794
44306.602,313.415127182568
44306.699,351.044336729035
44306.801,376.198691886426
44306.898,428.908666439545
44307,417.139381517589
44307.102,461.886177847846
44307.199,477.050384609692
44307.301,510.000725091962
44307.398,500.346389916227
44307.5,492.822007738358
44307.602,459.976535043041
44307.699,447.622606592097
44307.801,425.763166308667
44307.898,367.558196816255
44308,337.463933286861
44308.102,327.354171721939
44308.199,299.928039725693
44308.301,312.354833241297
44308.398,284.993624695243
44308.5,270.941168177044
44308.602,287.535825943653
44308.699,279.3862685673
44308.801,275.194144973144
44308.898,304.727666054343
44309,295.113514505245
44309.102,308.226193406651
44309.199,316.728437184151
44309.301,295.838746750232
44309.398,282.011287058808
44309.5,288.335086125099
44309.602,290.046266691589
44309.699,280.160246901668
44309.801,272.265744269986
44309.898,271.92915651484
44310,260.558078135733
44310.102,273.572294519429
44310.199,275.14839253019
44310.301,282.336251901612
44310.398,281.487328226207
44310.5,268.887491519609
44310.602,249.328698721472
44310.699,236.19833059159
44310.801,251.531540417847
44310.898,245.65570862816
44311,251.799405346393
44311.102,223.51815592688
44311.199,271.697252750806
44311.301,280.386976933553
44311.398,290.477706194316
44311.5,304.789294844627
44311.602,337.243640155871
44311.699,349.82536206314
44311.801,352.634156732796
44311.898,372.509157033188
44312,364.643343544109
44312.102,366.395774443568
44312.199,392.378075343314
44312.301,339.744745806075
44312.398,341.332454226844
44312.5,387.516599270168
44312.602,351.869415289306
44312.699,358.482534144904
44312.801,378.307960239821
44312.898,344.490579626744
44313,405.818162984454
44313.102,407.795197835027
44313.199,387.252662709609
44313.301,399.363310939996
44313.398,403.248913995209
44313.5,372.211855035924
44313.602,354.347330152351
44313.699,330.982128297735
44313.801,307.194325242753
44313.898,272.387117993538
44314,261.003089322249
44314.102,228.830360654878
44314.199,224.265126611701
44314.301,176.231500295377
44314.398,183.019070143627
44314.5,163.079616179765
44314.602,152.388490266134
44314.699,132.667306321484
44314.801,123.794307036934
44314.898,99.5462588454299
44315,125.900519739258
44315.102,101.546322519438
44315.199,104.027523526819
44315.301,103.81271334637
44315.398,86.5226166248245
44315.5,88.4577984601164
44315.602,77.4715437247317
44315.699,96.4814893825811
44315.801,66.8945531715039
44315.898,94.9115481620925
44316,90.47526023241
44316.102,95.7164173718134
44316.199,79.8133703018648
44316.301,95.5102887015583
44316.398,76.0832134182086
44316.5,75.8287928155321
44316.602,73.9655674567241
44316.699,87.7624635946146
44316.801,78.9338092720327
44316.898,86.7638824120494
44317,88.2175420628347
44317.102,93.5963820387303
44317.199,73.6806230569761
44317.301,105.656633278234
44317.398,93.8185548157287
44317.5,130.327790552087
44317.602,147.113528042221
44317.699,140.685169746357
44317.801,174.585014684412
44317.898,188.227598636952
44318,203.221775522772
44318.102,249.600164752521
44318.199,261.11063873411
44318.301,277.927064001809
44318.398,315.272207341484
44318.5,343.692297619441
44318.602,386.137982069584
44318.699,371.766895685712
44318.801,425.735509190938
44318.898,441.058053499537
44319,445.44085142671
44319.102,449.302397056691
44319.199,466.026554594908
44319.301,474.810270796793
44319.398,471.085727950358
44319.5,455.229681664729
44319.602,416.002609683839
44319.699,388.339966133115
44319.801,369.239154565025
44319.898,342.374861232332
44320,319.788992181258
44320.102,254.369121079741
44320.199,243.417047081475
44320.301,245.072291096509
44320.398,239.664662438699
44320.5,198.827389806572
44320.602,192.634461691745
44320.699,176.909017585465
44320.801,168.745914115512
44320.898,151.381269333751
44321,155.623192662802
44321.102,114.183705902122
44321.199,152.520915528179
44321.301,99.2488987581283
44321.398,124.059757961053
44321.5,120.197724363577
44321.602,97.8478011682674
44321.699,98.8378714900179
44321.801,87.7396951012853
44321.898,102.180478244711
44322,94.7223390482756
44322.102,93.312835072156
44322.199,101.902397861054
44322.301,90.2631423850974
44322.398,108.985122810905
44322.5,95.1785665456313
44322.602,108.089021998049
44322.699,104.070023649081
44322.801,115.359370954107
44322.898,117.387028437579
44323,131.001708086864
44323.102,127.516663327788
44323.199,160.458366313693
44323.301,154.124350746844
44323.398,179.275268999273
44323.5,178.338864908665
44323.602,233.51207596114
44323.699,248.795470586857
44323.801,257.69010867653
44323.898,272.489452648336
44324,300.263616078647
44324.102,326.899373821976
44324.199,337.771980372062
44324.301,345.198562212513
44324.398,327.039212835745
44324.5,328.33174016917
44324.602,316.21863465908
44324.699,300.690035714377
44324.801,311.107055371051
44324.898,298.137777657219
44325,284.104019191508
44325.102,280.213489624482
44325.199,282.635882920949
44325.301,270.35221181577
44325.398,262.576885876395
44325.5,265.612995103129
44325.602,250.738339751082
44325.699,240.084601057317
44325.801,236.352172773536
44325.898,240.815976730289
44326,194.366220435839
44326.102,219.817914880647
44326.199,189.203522943796
44326.301,173.337055745549
44326.398,188.797339639863
44326.5,185.870389661226
44326.602,176.532145715617
44326.699,190.427405193422
44326.801,176.382468467182
44326.898,168.42566433981
44327,213.37191556283
44327.102,200.094793108544
44327.199,225.394239026327
44327.301,224.31120119654
44327.398,226.089320314794
44327.5,214.537938998591
44327.602,207.951357513457
44327.699,185.361109558812
44327.801,210.103884839747
44327.898,176.553412306659
44328,172.413118064777
44328.102,180.849762471603
44328.199,147.938005102598
44328.301,202.953510914476
44328.398,149.629972504837
44328.5,190.665331224702
44328.602,198.136777612291
44328.699,182.674043129236
44328.801,179.933687755212
44328.898,211.27257403298
44329,246.65732750169
44329.102,274.585865874149
44329.199,297.297880159959
44329.301,312.803894542947
44329.398,341.558412729355
44329.5,386.175396657236
44329.602,381.590197706017
44329.699,378.426108122381
44329.801,378.727005019343
44329.898,381.406351898962
44330,348.761217134961
44330.102,345.331869441191
44330.199,304.939680293505
44330.301,288.365326327578
44330.398,272.588555501254
44330.5,248.232177146002
44330.602,285.201997505928
44330.699,281.368442559816
44330.801,259.438413893543
44330.898,284.062268409423
44331,309.253173564752
44331.102,299.604853534211
44331.199,322.121745973513
44331.301,359.695316291185
44331.398,410.909628709532
44331.5,437.915555807354
44331.602,467.629468832965
44331.699,514.926130091877
44331.801,509.908194558037
44331.898,523.58740465893
44332,538.714537295368
44332.102,531.114137582818
44332.199,507.307998995646
44332.301,457.912489497202
44332.398,428.293084466946
44332.5,389.926233595878
44332.602,355.97223362692
44332.699,319.591193418965
44332.801,286.892164336801
44332.898,245.823326557308
44333,238.171621948191
44333.102,223.785184396671
44333.199,190.717215342734
44333.301,174.896479842457
44333.398,175.849998264154
44333.5,150.03194546835
44333.602,178.395090171564
44333.699,141.127837836176
44333.801,149.594238491278
44333.898,137.634388084386
44334,141.212719824434
44334.102,144.055908797863
44334.199,158.009928503581
44334.301,136.080927815608
44334.398,137.179444670271
44334.5,130.329533731092
44334.602,142.590131355442
44334.699,94.0594037298478
44334.801,122.465933299628
44334.898,110.936603525528
44335,85.8490985071681
44335.102,102.221179540531
44335.199,98.6141701755868
44335.301,97.9875747136713
44335.398,106.430471892881
44335.5,99.4526751540771
44335.602,110.682236757503
44335.699,127.747846470641
44335.801,119.063213175283
44335.898,114.754590040191
44336,115.23629818299
44336.102,159.40743455034
44336.199,141.810083541916
44336.301,175.629780567448
44336.398,189.220316644127
44336.5,206.046835010861
44336.602,222.886249948383
44336.699,230.240364283359
44336.801,267.549559162114
44336.898,271.144327460659
44337,283.475108266792
44337.102,286.276869512846
44337.199,276.844215844652
44337.301,256.031064408174
44337.398,250.355031536947
44337.5,252.147362592956
44337.602,240.444639091873
44337.699,192.275332361295
44337.801,180.682187045257
44337.898,160.144031069182
44338,116.158995246006
44338.102,126.590673045918
44338.199,100.417276668828
44338.301,81.2000621413621
44338.398,84.776109492675
44338.5,109.207081361838
44338.602,81.9621235649025
44338.699,61.5159106872233
44338.801,80.9933773616389
44338.898,74.5004824911059
44339,60.7858912054416
44339.102,69.798266777479
44339.199,56.5601725736472
44339.301,41.6837658997894
44339.398,40.6023088926051
44339.5,54.4782485795683
44339.602,42.8151386649345
44339.699,48.1507757553743
44339.801,55.7731538040802
44339.898,57.0654366203936
44340,34.6563986745165
44340.102,60.2509741954844
44340.199,55.7021472629336
44340.301,66.6930178849321
44340.398,70.9493699465169
44340.5,43.9228148277531
44340.602,72.1417285934432
44340.699,68.4659245154486
44340.801,86.9040306339597
44340.898,75.7869492346793
44341,68.2682861203985
44341.102,56.2344744831502
44341.199,75.959044107876
44341.301,80.8434150405541
44341.398,107.264172804971
44341.5,97.2729749850368
44341.602,107.958528177871
44341.699,140.628845361487
44341.801,177.789437496926
44341.898,154.309943120058
44342,158.030137696325
44342.102,160.169694569
44342.199,187.961370378919
44342.301,212.453817637888
44342.398,204.156903379954
44342.5,204.703950514286
44342.602,208.446916392534
44342.699,212.410815312103
44342.801,159.989175906457
44342.898,173.33754191949
44343,163.847043719381
44343.102,160.910563528357
44343.199,134.35895310187
44343.301,152.183897891085
44343.398,188.86724621736
44343.5,188.141764791332
44343.602,189.122865280397
44343.699,208.92276085641
44343.801,196.464609653228
44343.898,230.821002638728
44344,250.79584870368
44344.102,292.873773154554
44344.199,332.865415847294
44344.301,337.09133952476
44344.398,400.599178093758
44344.5,427.980890644567
44344.602,485.519554713956
44344.699,519.148565410677
44344.801,527.710683681856
44344.898,591.105501034539
44345,563.560487810289
44345.102,592.128637697953
44345.199,607.339637544845
44345.301,555.602472622331
44345.398,556.535299408163
44345.5,539.568094427855
44345.602,532.795912685084
44345.699,529.288679753948
44345.801,513.997609544128
44345.898,525.499376472059
44346,555.034075203917
44346.102,555.548103403809
44346.199,565.779980480757
44346.301,554.651165652461
44346.398,536.575559353522
44346.5,540.818844774798
44346.602,526.033170155622
44346.699,504.74921737878
44346.801,467.713074460279
44346.898,413.869219873325
44347,366.307098640295
44347.102,328.13038041454
44347.199,305.793876780365
44347.301,288.846843219824
44347.398,277.160965002552
44347.5,232.948834455212
44347.602,228.148231072016
44347.699,185.432383282294
44347.801,208.087199387875
44347.898,183.10753197763
44348,192.629349987503
44348.102,180.771638640892
44348.199,161.671093698685
44348.301,156.331239166492
44348.398,138.126649883447
44348.5,166.698188462958
44348.602,165.215870454596
44348.699,160.190479402043
44348.801,175.000473258854
44348.898,159.684079832989
44349,165.87795282973
44349.102,164.265726087391
44349.199,156.345936452449
44349.301,141.096612666882
44349.398,162.546594383674
44349.5,153.671638988369
44349.602,147.084578522712
44349.699,188.735020648694
44349.801,220.958026753314
44349.898,192.637802755223
44350,221.324575971767
44350.102,257.00808445454
44350.199,231.335159390117
44350.301,252.591683623937
44350.398,289.096321200724
44350.5,315.393094196464
44350.602,348.329583602322
44350.699,340.394783666635
44350.801,298.312443127832
44350.898,275.594741149295
44351,237.499479071999
44351.102,197.948590661569
44351.199,198.031785185156
44351.301,179.919838488144
44351.398,159.914238312295
44351.5,163.298620325186
44351.602,127.745226363926
44351.699,135.190107102503
44351.801,113.131420292628
44351.898,104.606786360995
44352,67.1586008897292
44352.102,89.5559650463586
44352.199,82.0691742512352
44352.301,58.9541509131507
44352.398,69.1060814916449
44352.5,66.2241373438885
44352.602,64.1895432396574
44352.699,63.6337903663029
44352.801,66.7508337412736
44352.898,50.1047580657457
44353,54.273385986557
44353.102,45.4577870459354
44353.199,56.9551634932571
44353.301,34.6706771285508
44353.398,55.4810884953093
44353.5,24.2792390752524
44353.602,51.3069573544026
44353.699,36.9585767810998
44353.801,42.2417131661705
44353.898,33.0475187421699
44354,35.4563682157886
44354.102,40.9868316746701
44354.199,48.0555871284621
44354.301,48.0961560321941
44354.398,40.8941992738209
44354.5,52.8655687407572
44354.602,41.2095073743999
44354.699,52.5859812474011
44354.801,61.8362156230975
44354.898,21.2992812370714
44355,22.0012508473665
44355.102,54.0819696312157
44355.199,35.854101396921
44355.301,44.8660445749884
44355.398,60.0450132295197
44355.5,31.5950893112219
44355.602,28.1259517586076
44355.699,43.3181486527653
44355.801,45.8519391536986
44355.898,51.624895658026
44356,52.9237272848767
44356.102,28.9794469738423
44356.199,47.082190535638
44356.301,48.7981884201759
44356.398,23.3075804240255
44356.5,39.7717220736447
44356.602,70.5574770914282
44356.699,48.9295042282418
44356.801,70.6360789245184
44356.898,48.1914994799113
44357,80.4344639794632
44357.102,93.870461071425
44357.199,103.525897289484
44357.301,89.8915353798437
44357.398,90.8543265757636
44357.5,124.210836815983
44357.602,124.724174569178
44357.699,139.025643897101
44357.801,170.333437972845
44357.898,195.938794317478
44358,181.386578806235
44358.102,211.246345440502
44358.199,245.911946200362
44358.301,284.930488608898
44358.398,326.239944272012
44358.5,350.334919011165
44358.602,370.172699482133
44358.699,417.322612032336
44358.801,434.63155567973
44358.898,438.963179783926
44359,455.238180481238
44359.102,447.756678186167
44359.199,461.089034551959
44359.301,420.909259140827
44359.398,427.083777596718
44359.5,410.879180928935
44359.602,372.945752178515
44359.699,374.687363037228
44359.801,362.530496068861
