plotSimWnum,fitSpec
44302,49.1487671808548
44302.1,48.6764076055922
44302.2,48.3595898147846
44302.3,48.1944059304421
44302.4,48.1779588527021
44302.5,48.3085654011896
44302.6,48.5856998580935
44302.7,49.0188521772254
44302.8,49.6230933081099
44302.9,50.3578042205961
44303,51.240259059403
44303.1,52.2826359356082
44303.2,53.4920934007038
44303.3,54.8757049870065
44303.4,56.4412099525354
44303.5,58.1968697617037
44303.6,60.1511228467066
44303.7,62.3121255515312
44303.8,64.6871432746347
44303.9,67.2817664088689
44304,70.0991406878009
44304.1,73.1383820599647
44304.2,76.3936443771893
44304.3,79.8530212730416
44304.4,83.4975328113336
44304.5,87.3007550212023
44304.6,91.2293413540186
44304.7,95.2446835147071
44304.8,99.3059128637472
44304.9,103.374102322433
44305,107.417265407573
44305.1,111.414939323405
44305.2,115.297602690243
44305.3,119.071444942719
44305.4,122.833493657723
44305.5,126.688216251358
44305.6,130.629230427705
44305.7,134.652832147318
44305.8,138.799711420137
44305.9,143.075301150401
44306,147.442599837314
44306.1,151.829524751168
44306.2,156.131204676063
44306.3,160.215350654961
44306.4,163.932164262826
44306.5,167.128429549431
44306.6,169.664238675883
44306.7,171.464592716604
44306.8,172.186944996314
44306.9,171.847914166027
44307,170.81280830676
44307.1,169.110992452153
44307.2,166.902173569388
44307.3,164.373307292777
44307.4,161.695250612963
44307.5,159.017657636053
44307.6,156.463182310328
44307.7,154.121819805687
44307.8,152.049036492735
44307.9,150.267062094022
44308,148.768720062585
44308.1,147.523427209117
44308.2,146.484741746907
44308.3,145.598903182203
44308.4,144.813040838428
44308.5,144.051762917785
44308.6,143.205732325007
44308.7,142.350162313827
44308.8,141.523187948379
44308.9,140.742477364294
44309,140.028867800204
44309.1,139.416673010883
44309.2,138.889954315739
44309.3,138.456572527064
44309.4,138.114453213964
44309.5,137.853819409063
44309.6,137.664547316155
44309.7,137.535527217518
44309.8,137.343833274243
44309.9,137.250474320564
44310,137.291314734705
44310.1,137.508680853755
44310.2,137.945611161703
44310.3,138.639293014969
44310.4,139.614905454538
44310.5,140.880359151285
44310.6,142.422958289006
44310.7,144.206960006643
44310.8,146.174646404312
44310.9,148.249841075963
44311,150.376884490399
44311.1,152.445321626715
44311.2,154.3134516712
44311.3,155.936083028902
44311.4,157.161724966207
44311.5,157.926279311619
44311.6,158.416053751915
44311.7,158.673927228908
44311.8,158.75228723525
44311.9,158.700516049582
44312,158.552987113648
44312.1,158.319826525573
44312.2,157.981866448833
44312.3,157.489835937247
44312.4,156.769721241074
44312.5,155.732427303925
44312.6,154.286841652425
44312.7,152.353950829929
44312.8,149.77960453257
44312.9,146.417375973819
44313,142.538392360206
44313.1,138.214421224917
44313.2,133.542288181438
44313.3,128.633311599419
44313.4,123.601767031371
44313.5,118.555204458424
44313.6,113.58759246643
44313.7,108.775310807297
44313.8,104.176160253489
44313.9,99.8306701180952
44314,95.7637714921755
44314.1,91.9880064550074
44314.2,88.5069650948204
44314.3,85.3103697890274
44314.4,82.3973220869285
44314.5,79.7630053791461
44314.6,77.3990256299357
44314.7,75.2969785139413
44314.8,73.4488657232362
44314.9,71.8473163647047
44315,70.4857793532426
44315.1,69.3584205568659
44315.2,68.460371431175
44315.3,67.7877888706556
44315.4,67.3379962059184
44315.5,67.1095086664226
44315.6,67.1022393099026
44315.7,67.3175591266453
44315.8,67.7583709325859
44315.9,68.4291619793463
44316,69.3360094400165
44316.1,70.4865684241974
44316.2,71.8899889978499
44316.3,73.5567700551339
44316.4,75.498514127245
44316.5,77.7275196751106
44316.6,80.2563105852388
44316.7,83.0967748676784
44316.8,86.2591980997103
44316.9,89.750958926708
44317,93.5749029758523
44317.1,97.7274151629199
44317.2,102.196322105124
44317.3,106.958734169182
44317.4,111.979015070444
44317.5,117.206071617245
44317.6,122.573800436681
44317.7,128.000623636439
44317.8,133.390622745909
44317.9,138.635693512641
44318,143.618540877309
44318.1,148.120466229298
44318.2,152.066093525849
44318.3,155.393372701019
44318.4,157.997873588857
44318.5,159.789340902299
44318.6,160.699931357026
44318.7,160.693106146123
44318.8,159.483369770179
44318.9,157.314594534001
44319,154.387325754456
44319.1,150.828574147922
44319.2,146.779905121003
44319.3,142.384273055521
44319.4,137.879945765988
44319.5,133.187199082257
44319.6,128.472664524878
44319.7,123.818756758825
44319.8,119.276504000974
44319.9,114.880268113347
44320,110.599782391626
44320.1,106.498442857126
44320.2,102.617295040029
44320.3,98.9860590185296
44320.4,95.5710796114811
44320.5,92.4112549519847
44320.6,89.5235106751284
44320.7,86.91884396047
44320.8,84.6044518365232
44320.9,82.5852483888575
44321,80.8638054399146
44321.1,79.4409156699773
44321.2,78.3162135685612
44321.3,77.4889423041758
44321.4,76.9888546329335
44321.5,76.7654776682217
44321.6,76.8293870093136
44321.7,77.1898702721237
44321.8,77.8507234372004
44321.9,78.8149620871192
44322,80.0860133030357
44322.1,81.6670316779144
44322.2,83.5600112800009
44322.3,85.7645728448207
44322.4,88.276418635892
44322.5,91.0853576825332
44322.6,94.1731503134467
44322.7,97.5112173382227
44322.8,101.05797464899
44322.9,104.757415253292
44323,108.538318327274
44323.1,112.315117074565
44323.2,115.991024444965
44323.3,119.504430727364
44323.4,122.680726384775
44323.5,125.45857916215
44323.6,127.775234446357
44323.7,129.395215781745
44323.8,130.430333095287
44323.9,130.998225719935
44324,131.153186299761
44324.1,130.977367230372
44324.2,130.506283546376
44324.3,129.805445702132
44324.4,128.928944170359
44324.5,127.971838189962
44324.6,126.801904599608
44324.7,125.488188888694
44324.8,124.028854212095
44324.9,122.368711501678
44325,120.557049583578
44325.1,118.72806776753
44325.2,116.918482735245
44325.3,115.130430971902
44325.4,113.44572861918
44325.5,111.924793690673
44325.6,110.609871233732
44325.7,109.529227507659
44325.8,108.69539617374
44325.9,108.104965586826
44326,107.738915313683
44326.1,107.563851632219
44326.2,107.535119571736
44326.3,107.60094408328
44326.4,107.707710501855
44326.5,107.806038115593
44326.6,107.856889983665
44326.7,107.773297031228
44326.8,107.536205757396
44326.9,107.250163368948
44327,106.955136229641
44327.1,106.703662898409
44327.2,106.555514879227
44327.3,106.572355912579
44327.4,106.813094618481
44327.5,107.330333280706
44327.6,108.167876807263
44327.7,109.35908219317
44327.8,110.925657540255
44327.9,112.876700932087
44328,115.207452374048
44328.1,117.897922864429
44328.2,120.911279677729
44328.3,124.192433621995
44328.4,127.667365978411
44328.5,131.243846050796
44328.6,134.814213447358
44328.7,138.260609066423
44328.8,141.463891962351
44328.9,144.313793935774
44329,146.721202047691
44329.1,148.599734543251
44329.2,149.67521873603
44329.3,150.288224276559
44329.4,150.524905544181
44329.5,150.501343241453
44329.6,150.351567224304
44329.7,150.216777748561
44329.8,150.227116825831
44329.9,150.50121849626
44330,151.135330181886
44330.1,152.198745933031
44330.2,153.731140826648
44330.3,155.740544593865
44330.4,158.201640973901
44330.5,161.05437586051
44330.6,164.203208172628
44330.7,167.517692916327
44330.8,170.83548580304
44330.9,173.968662044115
44331,176.714201708338
44331.1,178.868439785194
44331.2,180.244462962989
44331.3,180.690252605012
44331.4,179.767630672122
44331.5,177.745891765932
44331.6,174.629119338356
44331.7,170.55413001647
44331.8,165.727519647581
44331.9,160.320868520965
44332,154.532229912329
44332.1,148.544175335351
44332.2,142.521559416131
44332.3,136.604996781801
44332.4,130.90613356871
44332.5,125.508100871495
44332.6,120.467250194454
44332.7,115.816153883489
44332.8,111.567073261987
