plotSimWnum,fitSpec
44302,231.011736939503
44302.1,201.908279484175
44302.2,179.274046787455
44302.3,161.363257718187
44302.4,146.999150382411
44302.5,135.362698713148
44302.6,125.869072365541
44302.7,118.091942952429
44302.8,111.715307730374
44302.9,106.501901452522
44303,102.271991244261
44303.1,99.7646832367341
44303.2,98.369630714654
44303.3,96.8440874063519
44303.4,95.7160629123476
44303.5,95.0496290168176
44303.6,94.8858078308537
44303.7,95.2366426554007
44303.8,96.1094784443022
44303.9,97.5198454078308
44304,99.495048901874
44304.1,102.076665583842
44304.2,105.323429132025
44304.3,109.315035014428
44304.4,114.157608926498
44304.5,120.227920054757
44304.6,129.53921225362
44304.7,138.57102640868
44304.8,149.104981342459
44304.9,161.740028400571
44305,177.234222149539
44305.1,196.596389572021
44305.2,221.319067805594
44305.3,253.776662321452
44305.4,298.030982959809
44305.5,361.652413654495
44305.6,460.084589179981
44305.7,626.756864056653
44305.8,932.058867367038
44305.9,1499.56823487553
44306,2461.61173726131
44306.1,3776.7907424157
44306.2,5019.89898841554
44306.3,5389.8040001183
44306.4,4449.01270731007
44306.5,3132.99535425843
44306.6,2032.46807810746
44306.7,1354.16301053629
44306.8,1017.97893439653
44306.9,889.444627721323
44307,885.181501181222
44307.1,977.898125431706
44307.2,1187.06401507988
44307.3,1591.19515569614
44307.4,2373.38995672268
44307.5,3870.39417512368
44307.6,6474.7518518232
44307.7,10163.6993095412
44307.8,13854.655047547
44307.9,15367.3054266244
44308,12987.2077178966
44308.1,9128.90465195611
44308.2,5672.90068265527
44308.3,3386.64222503937
44308.4,2117.38312242109
44308.5,1458.55293100371
44308.6,1113.19843424001
44308.7,928.778571093156
44308.8,838.811542192051
44308.9,821.082326338365
44309,883.164635981213
44309.1,1068.47924937269
44309.2,1473.67925381139
44309.3,2243.36482457086
44309.4,3462.22617822254
44309.5,4924.38199846731
44309.6,5979.9455290811
44309.7,5800.64071660174
44309.8,4523.51613384226
44309.9,3086.36204302257
44310,2005.41445357802
44310.1,1387.34826260934
44310.2,1123.62119873295
44310.3,1113.92440363626
44310.4,1359.61957955718
44310.5,1948.48022711849
44310.6,2943.4907703418
44310.7,4165.79881311055
44310.8,5074.4368746488
44310.9,4802.42075674994
44311,3680.36911174315
44311.1,2472.13817785842
44311.2,1588.34379265749
44311.3,1079.79259484396
44311.4,828.148021306604
44311.5,720.71589997851
44311.6,696.781857497231
44311.7,736.445912804658
44311.8,847.661345236896
44311.9,1073.78203882686
44312,1518.35960389074
