plotWnum,plotSpec
44302,116.503953533477
44302.102,95.9177751069639
44302.199,69.2403344193343
44302.301,88.2361823301753
44302.398,68.1930627345531
44302.5,35.7053089716613
44302.602,45.6433958137977
44302.699,38.0856143779192
44302.801,37.8406022720858
44302.898,59.6270885757471
44303,68.3670800346716
44303.102,31.0100745163764
44303.199,12.79142870128
44303.301,27.6346982150527
44303.398,78.5775135196882
44303.5,86.6140075492037
44303.602,16.8145304714811
44303.699,72.0471764805955
44303.801,48.4427927511797
44303.898,35.0953685653584
44304,74.2732746160372
44304.102,25.1255266247781
44304.199,28.1616646033213
44304.301,62.0752466785457
44304.398,6.40622336851074
44304.5,57.5995346339307
44304.602,47.2228495752486
44304.699,40.539822986449
44304.801,76.9590672468797
44304.898,116.057045239864
44305,119.063143799527
44305.102,214.281462946978
44305.199,163.995901951553
44305.301,172.793741101879
44305.398,260.813797968737
44305.5,310.230075005237
44305.602,326.636491409718
44305.699,422.442027772098
44305.801,463.655807515373
44305.898,547.793249943791
44306,586.575395207137
44306.102,665.827595747838
44306.199,598.039161349846
44306.301,497.441155187129
44306.398,444.179090734527
44306.5,428.926849613258
44306.602,440.895745345768
44306.699,488.735585036138
44306.801,438.456468971137
44306.898,504.110298683041
44307,547.132706759564
44307.102,756.685913692207
44307.199,893.357098338284
44307.301,1090.58528679156
44307.398,1271.91618967067
44307.5,1347.23456603659
44307.602,1536.31548243496
44307.699,1495.14594560791
44307.801,1379.96504345269
44307.898,1225.76829473046
44308,1080.17079622828
44308.102,919.475908000728
44308.199,741.349877812478
44308.301,645.310539473684
44308.398,491.098827447615
44308.5,405.972283328727
44308.602,412.357519978032
44308.699,385.980623861898
44308.801,400.276531545274
44308.898,457.977526446733
44309,477.852030135241
44309.102,561.061775564556
44309.199,646.195398123481
44309.301,699.068075754526
44309.398,686.924928498598
44309.5,685.085331332847
44309.602,645.81315302894
44309.699,577.712486338145
44309.801,552.289445546512
44309.898,461.410239330471
44310,482.356723424447
44310.102,518.34896881876
44310.199,547.843566505443
44310.301,519.847272437082
44310.398,591.362098154642
44310.5,574.861984930172
44310.602,625.368498177039
44310.699,538.665539096501
44310.801,492.556863780829
44310.898,463.451676916579
44311,380.399682738947
44311.102,407.795439165874
44311.199,366.821782760053
44311.301,383.461243867029
44311.398,368.779206309328
44311.5,404.93423307449
44311.602,401.800664524659
44311.699,526.640905469425
44311.801,593.509833565753
44311.898,683.13826453669
44312,857.524795608489
44312.102,949.847051435054
44312.199,983.30877818297
44312.301,1007.53150038433
44312.398,944.381131962176
44312.5,846.264843955882
44312.602,780.627799929091
44312.699,680.521027997577
44312.801,613.753616618002
44312.898,608.975531655335
