molecule,fraction
CH4,0.545
O2,0.455
Ar,1.090
NO,0.010
N2,0.0
H2O,0.0
CO2,0.0
CO,0.0
C2H6,0.0
C3H8,0.0
C2H4,0.0
C2H2,0.0
NO2,0.0
N2O,0.0
NH3,0.0
NH,0.0
H2,0.0
O,0.0
H,0.0
OH,0.0
CH,0.0
He,0.0
Ne,0.0
Kr,0.0
Xe,0.0
